Cluster Huawei

|    node    |     user      |             job name              |   job id   |   queue    |  left walltime  |
|  node-017  |   egracheva   |            9GREEN@G16             |   101491   |    long    |    11d 17:32    |
|  node-017  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-018  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
|  node-018  |   ivkazakov   |    acnAlC6F53_dcm_opt_popl@G16    |   101390   |    long    |    11d 07:57    |
|  node-018  |   kuznetsov   |            abinit_2272            |   101455   |    long    |    11d 07:07    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-019  |    andrej     |                G16                |   101613   |    long    |    12d 14:38    |
|  node-019  |   kuznetsov   |            abinit_2272            |   101455   |    long    |    11d 07:07    |
|  node-019  |  eroginskij   |           abinit_11645            |   101420   |    long    |    11d 01:20    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-020  |   egracheva   |            9GREEN@G16             |   101491   |    long    |    11d 17:32    |
|  node-020  |  avkovalenko  | mosse2_NT_66_pho_HSE06GRM_in@CR17 |   101293   |    long    |    11d 12:10    |
|  node-020  |   kuznetsov   |            abinit_2272            |   101455   |    long    |    11d 07:07    |
|  node-020  |  eroginskij   |           abinit_11645            |   101420   |    long    |    11d 01:20    |
|  node-020  |    vporsev    |             I1L1@G16              |   101273   |    long    |    10d 01:53    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-021  | rekevorkiantc |         abinit.1551840187         |   101476   |    long    |    11d 13:20    |
|  node-021  |   abandura    |              CRYSTAL              |   101450   |    long    |    11d 05:46    |
|  node-021  |    rabdano    | Amber_ff15ipq_SPCEb_0.1M_NaCl_NPT |   101726   |    gpu     |    9d 07:33     |
|  node-021  |  abkuznetsov  |      spn-frq2-tvzp-grmi@CR17      |   101066   |    long    |    7d 23:12     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-022  |  avpomogaeva  |        SA_6311_dif_dp_frq         |   101519   |    long    |    11d 22:20    |
|  node-022  |   egracheva   |            7GREEN@G16             |   101493   |    long    |    11d 21:08    |
|  node-022  | rekevorkiantc |         abinit.1551840187         |   101476   |    long    |    11d 13:20    |
|  node-022  | rekevorkiantc |         abinit.1551763955         |   101350   |    long    |    10d 15:46    |
|  node-022  |  isilanteva   |        queue_run_gpu.bash         |   100632   |    gpu     |    0d 01:42     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-023  | rekevorkiantc |         abinit.1551763955         |   101350   |    long    |    10d 15:46    |
|  node-023  |   ivkazakov   |    acnAlC6F53_bnz_opt_popl@G16    |   100576   |    long    |    4d 04:43     |
|  node-023  |  atimoshkin   |       GaC6F53_acn_opt_popl        |   100570   |    long    |    3d 20:43     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-024  | rekevorkiantc |         abinit.1551840187         |   101476   |    long    |    11d 13:20    |
|  node-024  | rekevorkiantc |         abinit.1551763955         |   101350   |    long    |    10d 15:46    |
|  node-024  |   ivkazakov   |    acnAlC6F53_bnz_opt_popl@G16    |   100576   |    long    |    4d 04:43     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-025  |   ivkazakov   |     acnAlC6F53_diethr_smd@G16     |   101391   |    long    |    11d 11:56    |
|  node-025  | rekevorkiantc |         abinit.1551763955         |   101350   |    long    |    10d 15:46    |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-026  | rekevorkiantc |         abinit.1551840187         |   101476   |    long    |    11d 13:20    |
|  node-026  |   abandura    |              CRYSTAL              |   101450   |    long    |    11d 05:46    |
|  node-026  | rekevorkiantc |         abinit.1551763955         |   101350   |    long    |    10d 15:46    |
|  node-026  |    andrej     |                G16                |   101229   |    long    |    9d 17:03     |
|  node-026  |  isilanteva   |        queue_run_gpu.bash         |   101400   |    gpu     |    6d 22:43     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-027  |    rabdano    |          4_ff14SB_TIP4PD          |   101635   |    gpu     |    8d 19:13     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-028  |  abkuznetsov  |      spn-frq2-tvzp-grmi@CR17      |   101066   |    long    |    7d 23:12     |
|  node-028  |  atimoshkin   |       GaC6F53_bnz_opt_popl        |   100571   |    long    |    3d 21:51     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
|  node-029  | rekevorkiantc |         abinit.1551840187         |   101476   |    long    |    11d 13:20    |
|  node-029  |    vporsev    |            Ir-mega@G16            |   101413   |    long    |    11d 00:43    |
|  node-029  |   kuznetsov   |             MS_ZETSF              |   100843   |    long    |    6d 03:24     |
|  node-029  |    rabdano    |          3_ff14SB_TIP4PD          |   100938   |    gpu     |    2d 19:47     |
| ---------- |  ----------   |            ----------             | ---------- | ---------- |   ----------    |
